City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
ibipora,-23.27,-51.05,75.2,78,0,2.24,BR,1603585829
chokurdakh,70.63,147.92,14.49,97,95,7.25,RU,1603585683
carnarvon,-24.87,113.63,73.4,88,90,16.11,AU,1603585673
new norfolk,-42.78,147.06,54.0,48,79,1.99,AU,1603585816
punta arenas,-53.15,-70.92,42.8,93,100,14.99,CL,1603585650
bredasdorp,-34.53,20.04,62.6,82,21,8.05,ZA,1603585831
linkoping,58.41,15.62,42.8,93,96,5.82,SE,1603585831
pevek,69.7,170.31,27.79,91,2,13.47,RU,1603585670
kutum,14.2,24.67,69.87,26,23,12.15,SD,1603585832
camacha,33.08,-16.33,62.6,77,20,3.36,PT,1603585832
srednekolymsk,67.45,153.68,16.09,95,4,4.94,RU,1603585753
yellowknife,62.46,-114.35,24.01,67,75,5.82,CA,1603585666
chuy,-33.7,-53.46,61.84,97,6,4.81,UY,1603585648
lakes entrance,-37.88,147.98,53.01,92,99,4.0,AU,1603585833
pergine valsugana,46.06,11.24,53.01,80,5,3.36,IT,1603585833
santa isabel,-23.32,-46.22,68.0,94,75,2.24,BR,1603585834
atuona,-9.8,-139.03,78.89,74,14,20.71,PF,1603585648
dikson,73.51,80.55,21.97,92,46,4.38,RU,1603585818
bluff,-46.6,168.33,77.0,43,99,13.0,NZ,1603585795
port elizabeth,-33.92,25.57,60.8,93,0,4.7,ZA,1603585834
aklavik,68.22,-135.01,19.4,92,75,3.36,CA,1603585835
provideniya,64.38,-173.3,34.95,86,93,11.45,RU,1603585836
ayan,56.45,138.17,38.08,76,100,12.1,RU,1603585836
wanaka,-44.7,169.15,60.8,77,100,7.61,NZ,1603585837
saskylakh,71.92,114.08,12.31,94,100,19.22,RU,1603585837
hermanus,-34.42,19.23,61.0,86,6,3.0,ZA,1603585837
port alfred,-33.59,26.89,65.66,90,1,7.0,ZA,1603585838
bambous virieux,-20.34,57.76,69.8,94,75,11.41,MU,1603585802
mataura,-46.19,168.86,77.0,43,100,13.0,NZ,1603585676
krasnoselkup,65.7,82.47,7.03,95,93,9.33,RU,1603585838
yar-sale,66.83,70.83,15.49,96,8,6.62,RU,1603585839
codrington,-38.27,141.97,51.91,64,96,20.89,AU,1603585839
tasiilaq,65.61,-37.64,33.8,69,98,3.36,GL,1603585699
zhanaozen,43.3,52.8,51.94,82,93,9.53,KZ,1603585840
sao filipe,14.9,-24.5,81.3,71,100,7.76,CV,1603585840
busselton,-33.65,115.33,73.99,34,29,10.31,AU,1603585841
jamestown,42.1,-79.24,42.01,69,90,3.36,US,1603585593
kamenka,51.32,42.77,52.0,93,100,7.0,RU,1603585841
katherine,-14.47,132.27,87.8,55,98,10.29,AU,1603585841
puerto ayora,-0.74,-90.35,69.01,93,85,8.99,EC,1603585686
souillac,-20.52,57.52,69.8,94,75,11.41,MU,1603585842
vaini,-21.2,-175.2,73.4,94,90,11.41,TO,1603585842
sivaki,52.63,126.75,33.06,85,0,7.45,RU,1603585842
cape town,-33.93,18.42,62.01,77,75,8.05,ZA,1603585842
albany,42.6,-73.97,46.99,68,20,8.01,US,1603585644
ushuaia,-54.8,-68.3,44.6,70,75,6.33,AR,1603585791
arraial do cabo,-22.97,-42.03,70.39,94,100,21.52,BR,1603585843
gospic,44.55,15.37,53.6,100,75,6.93,HR,1603585843
birao,10.28,22.79,77.74,44,72,0.34,CF,1603585843
yulara,-25.24,130.99,68.0,30,0,19.46,AU,1603585843
faya,18.39,42.45,59.0,22,0,1.97,SA,1603585706
butaritari,3.07,172.79,81.01,70,67,8.7,KI,1603585844
rikitea,-23.12,-134.97,74.84,80,97,21.81,PF,1603585641
mirabela,-16.26,-44.16,65.62,95,100,1.23,BR,1603585845
nikolskoye,59.7,30.79,39.2,86,75,3.98,RU,1603585845
lebu,-37.62,-73.65,49.12,81,0,4.59,CL,1603585845
hilo,19.73,-155.09,86.0,62,75,14.99,US,1603585642
kapaa,22.08,-159.32,84.99,74,40,17.22,US,1603585846
bethany,45.56,-122.87,51.01,57,75,11.41,US,1603585847
oussouye,12.48,-16.55,82.4,88,0,2.24,SN,1603585847
faanui,-16.48,-151.75,79.25,77,94,11.83,PF,1603585847
airai,-8.93,125.41,77.22,56,79,0.85,TL,1603585847
kloulklubed,7.04,134.26,84.2,79,75,5.82,PW,1603585848
auki,-8.77,160.7,85.71,70,14,4.12,SB,1603585849
east london,-33.02,27.91,68.79,88,4,3.47,ZA,1603585849
saint george,37.1,-113.58,77.0,29,1,10.29,US,1603585797
slave lake,55.28,-114.77,23.0,62,90,17.22,CA,1603585850
yurimaguas,-5.9,-76.08,81.0,65,44,2.08,PE,1603585850
kodiak,57.79,-152.41,46.4,87,90,8.05,US,1603585850
alice springs,-23.7,133.88,68.0,32,0,16.11,AU,1603585850
mahebourg,-20.41,57.7,69.8,94,75,11.41,MU,1603585795
tuktoyaktuk,69.45,-133.04,23.0,85,75,9.17,CA,1603585811
zhigansk,66.77,123.37,20.39,96,100,21.18,RU,1603585810
esso,55.93,158.7,33.12,90,100,9.4,RU,1603585851
atar,20.52,-13.05,86.58,23,70,8.9,MR,1603585851
gimli,50.63,-96.99,28.0,98,93,5.01,CA,1603585568
hervey bay,-25.3,152.85,82.0,61,75,16.11,AU,1603585852
ucluelet,48.93,-125.55,50.0,53,20,8.05,CA,1603585848
hanumangarh,29.58,74.32,68.14,24,0,5.77,IN,1603585853
cherskiy,68.75,161.3,19.11,94,22,4.88,RU,1603585853
matay,28.42,30.78,65.12,58,0,7.25,EG,1603585853
custoias,41.11,-7.32,64.99,7,100,16.42,PT,1603585853
caravelas,-17.71,-39.25,75.9,86,90,7.65,BR,1603585654
lillooet,50.69,-121.94,33.01,80,90,6.93,CA,1603585854
madisonville,37.33,-87.5,53.6,76,90,6.67,US,1603585582
lompoc,34.64,-120.46,66.2,63,90,11.41,US,1603585854
hofn,64.25,-15.21,44.08,81,90,19.28,IS,1603585855
ostersund,63.18,14.64,32.0,98,100,10.29,SE,1603585855
bethel,41.37,-73.41,51.01,74,85,1.01,US,1603585640
khatanga,71.97,102.5,6.55,95,100,14.2,RU,1603585855
antofagasta,-23.65,-70.4,59.0,82,90,11.41,CL,1603585708
balkanabat,39.51,54.37,57.13,38,0,3.78,TM,1603585856
upernavik,72.79,-56.15,22.6,93,85,8.9,GL,1603585857
matara,5.95,80.54,77.27,88,91,6.44,LK,1603585857
portland,45.52,-122.68,50.0,57,75,19.46,US,1603585770
parker,32.77,-97.8,57.99,68,0,7.23,US,1603585857
hasaki,35.73,140.83,61.0,66,75,6.93,JP,1603585858
fort nelson,58.81,-122.7,30.2,42,40,2.24,CA,1603585804
copiapo,-27.37,-70.33,55.4,82,0,4.7,CL,1603585639
narsaq,60.92,-46.05,28.4,68,100,2.24,GL,1603585858
hithadhoo,-0.6,73.08,83.12,74,67,9.71,MV,1603585697
berlevag,70.86,29.09,38.46,75,100,15.77,NO,1603585649
hailar,49.2,119.7,30.63,93,100,3.58,CN,1603585859
honningsvag,70.98,25.97,38.7,82,100,13.49,NO,1603585859
torbay,47.67,-52.73,50.0,93,90,23.04,CA,1603585745
rawson,-43.3,-65.1,59.05,66,46,11.9,AR,1603585749
salalah,17.02,54.09,71.6,49,0,5.82,OM,1603585814
tazmalt,36.39,4.4,57.2,93,0,5.82,DZ,1603585861
barrow,71.29,-156.79,33.8,86,90,10.29,US,1603585862
visby,57.64,18.3,46.0,100,47,4.7,SE,1603585862
marsh harbour,26.54,-77.06,80.44,78,92,11.79,BS,1603585862
lavrentiya,65.58,-171.0,34.52,86,0,7.96,RU,1603585862
coahuayana,18.73,-103.68,78.8,83,40,11.41,MX,1603585863
isangel,-19.55,169.27,80.6,74,75,6.93,VU,1603585863
viedma,-40.81,-63.0,69.01,68,0,1.99,AR,1603585863
necochea,-38.55,-58.74,60.01,86,20,8.99,AR,1603585668
gold coast,-28.0,153.43,81.0,73,75,9.17,AU,1603585747
ribeira grande,38.52,-28.7,66.69,80,87,11.41,PT,1603585678
castro,-24.79,-50.01,63.39,90,100,3.6,BR,1603585864
kalavad,22.22,70.38,73.4,78,20,3.36,IN,1603585865
lisakovsk,52.54,62.49,43.05,92,23,10.92,KZ,1603585865
amol,36.47,52.35,61.99,52,0,1.95,IR,1603585865
longyearbyen,78.22,15.64,21.2,79,75,1.7,SJ,1603585658
lasa,46.62,10.7,48.99,93,5,3.36,IT,1603585866
dingle,11.0,122.67,81.43,79,100,3.36,PH,1603585866
thompson,55.74,-97.86,24.8,68,90,4.7,CA,1603585866
kaitangata,-46.28,169.85,70.57,49,100,12.06,NZ,1603585675
mar del plata,-38.0,-57.56,61.0,100,90,5.82,AR,1603585867
vila velha,-20.33,-40.29,71.6,94,40,11.34,BR,1603585772
gunjur,13.2,-16.73,80.6,94,0,5.82,GM,1603585867
kaman,27.65,77.27,69.44,26,0,2.33,IN,1603585867
lichuan,30.3,108.85,50.41,61,98,2.39,CN,1603585868
